Test Result UID,Test Result Name,Linalool,Caryophyllene oxide,Myrcene,beta-Pinene,Limonene,Terpinolene,alpha-Pinene,Humulene,Caryophyllene,TERPENE-TOTAL
ANL20150430C635198,BHO Scout Berry,< 0.01,< 0.01,0.68,< 0.01,< 0.01,< 0.01,0.21,1.04,0.82,2.75
ANL20150430B635197,BHO Ace of Face,< 0.01,< 0.01,0.47,< 0.01,< 0.01,< 0.01,0.37,1.12,0.61,2.57
ANL20150430A635196,Market Test Electric Extract Cynex,< 0.01,< 0.01,0.27,< 0.01,< 0.01,< 0.01,0.52,1.13,0.77,2.69
ANL20150430F535195,Market Test Crop Circle Boy Scout Cookies n’ Cream,< 0.01,< 0.01,0.27,< 0.01,< 0.01,< 0.01,0.51,1.13,1.01,2.92
ANL20150430E535194,Market Test Gold Grams AK Hashplant,< 0.01,< 0.01,0.72,< 0.01,< 0.01,< 0.01,1.50,1.46,1.28,4.96
ANL20150430D535193,Market Test BHO Grapefruit,< 0.01,< 0.01,0.37,< 0.01,< 0.01,< 0.01,1.02,0.86,0.27,2.52
ANL20150430B363925,Royal Express,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,1.12,0.33,1.52,2.97
ANL20150501C335214,R. JH 5002Z+ Pink Champagne,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,0.99,1.20,2.19
ANL20150501D335215,Chef 1,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,0.46,< 0.01,0.73,1.19
ANL20140319B1017898,Girl Scout Cookie,< 0.01,0.40,0.50,< 0.01,< 0.01,0.39,0.85,0.26,< 0.01,2.40
ANL20140319C1017899,Bubba Kush,2.20,0.35,0.45,< 0.01,< 0.01,0.05,0.74,0.56,0.10,4.45
ANL20140319E1017901,Royal Kush,< 0.01,0.57,1.21,< 0.01,< 0.01,< 0.01,0.83,0.69,0.09,3.39
ANL20140319F1017902,Lavender H0312Y6,< 0.01,0.33,1.30,< 0.01,< 0.01,< 0.01,1.05,0.50,0.35,3.53
ANL20160318F041974,Purple OG Kush,< 0.01,< 0.01,0.02,< 0.01,< 0.01,< 0.01,0.08,0.23,< 0.01,0.33
ANL20140319A1117903,Allen Wrench H0312Z5,1.91,0.38,0.86,< 0.01,< 0.01,< 0.01,0.74,1.66,0.95,6.50
ANL20140319B1117904,Lavender H0312Y5,< 0.01,0.54,0.85,< 0.01,< 0.01,0.13,1.02,0.44,0.20,3.18
ANL20140319C1117905,Bubble Gum Kush H0311Z2,2.91,0.38,0.12,< 0.01,4.36,< 0.01,0.70,0.54,0.97,9.98
ANL20140319D1117906,Bubble Gum Kush H0311Z1,2.51,0.42,0.15,< 0.01,< 0.01,< 0.01,< 0.01,0.42,0.76,4.26
ANL20140319E1117907,Deep Purple H0311Y1,3.46,0.52,0.14,< 0.01,< 0.01,0.05,0.97,1.71,0.99,7.84
ANL20140319B717870,God Bud,2.56,0.28,< 0.01,< 0.01,< 0.01,< 0.01,0.72,0.05,0.56,4.17
ANL20140319A217834,LS Cynex A-1 (Loaded Soda),2.29,0.17,< 0.01,< 0.01,< 0.01,< 0.01,0.68,0.75,0.49,4.38
ANL20140319B217836,Elephant,2.89,0.29,< 0.01,< 0.01,1.31,< 0.01,0.85,0.36,0.42,6.12
ANL20160318E041972,Blue Dream,< 0.01,< 0.01,0.02,< 0.01,< 0.01,< 0.01,0.26,0.13,0.21,0.62
ANL20140319C217843,White Fire Alien OG,2.14,0.30,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,0.69,0.56,3.69
ANL20140319D217844,Gremlin Kush 1,1.75,0.17,0.33,< 0.01,< 0.01,< 0.01,< 0.01,0.28,0.46,2.99
ANL20140319E217845,Gremlin Kush 2,1.52,0.18,0.62,< 0.01,< 0.01,< 0.01,0.82,0.32,0.51,3.97
ANL20140319A317847,Ogre Kush,1.93,0.36,0.86,< 0.01,< 0.01,< 0.01,< 0.01,0.30,0.79,4.24
ANL20140319F217846,Romulan,1.65,0.26,0.46,< 0.01,< 0.01,< 0.01,0.82,0.82,0.65,4.66
ANL20160103A140732,RSO A,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,1.03,0.10,1.13
ANL20140921F226189,Food Grade #1,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,< 0.01,4.15,0.13,4.28
