Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
232HYqAnSdGH2NHMi,CBDee's Whole Live Plant Distillate,Concentrate,2016-08-15,2016-08-16,1,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.21,0.0,0.01,0.4,0.52,0.01,0.0,1.46,0.47,0.0,0.02,0.2,0.0,0.0,,3.8,,,0.25,0.35,,68.65,,,,2.2,2.36,
23j7vbEzcYBHTvDtT,Girl Scout Cookie,Concentrate,2015-12-03,2015-12-04,,,,0.0,0.0,,0.0,0.05,0.0,0.01,0.0,0.0,0.0,0.24,0.0,0.05,0.02,0.0,0.72,0.01,0.35,0.75,0.09,0.08,0.23,0.01,0.0,,59.9,,,0.38,0.18,,0.05,,,,2.76,0.69,
25gSnegtgw2Qf2dNJ,Blueberry Haze HTFSE,Concentrate,2017-10-19,2017-10-19,2,0.0,0.0,,,,0.0,0.19,0.0,0.0,0.0,0.53,0.0,0.82,0.0,0.14,0.53,0.82,3.09,0.04,2.84,10.92,0.04,1.14,2.65,0.0,0.0,,6.7,0.01,38.85,0.3,0.01,0.78,0.01,,,7.66,2.52,0.66,
27qz6QFwZ5Sto3RLe,011518-02 Straw. Lem. SCE,Concentrate,2018-04-10,2018-04-10,,0.0,0.0,,,,0.0,0.13,0.0,0.06,0.0,0.0,0.0,0.33,0.0,2.76,0.08,0.44,0.51,0.2,0.69,2.65,1.27,0.22,2.13,0.12,0.04,,15.24,0.01,47.49,0.01,0.01,1.03,0.01,,,8.75,1.55,0.01,
27qz6QFwZ5Sto3RLe,011518-02 Straw. Lem. SCE,Concentrate,2018-04-10,2018-04-10,,0.0,0.0,,,,0.0,0.13,0.0,0.06,0.0,0.0,0.0,0.33,0.0,2.76,0.08,0.44,0.51,0.2,0.69,2.65,1.27,0.22,2.13,0.12,0.04,,15.24,0.01,47.49,0.01,0.01,1.03,0.01,,,8.75,1.55,0.01,
2Cz6bHJHWbt2mZxih,Strawberry Banana -LR,Concentrate,2017-09-01,2017-09-01,,0.0,0.0,,,,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.96,0.06,0.22,0.2,0.05,0.52,0.69,0.32,0.05,0.88,0.02,0.0,,1.09,0.01,80.04,0.01,0.33,0.95,0.01,,,3.86,0.59,0.01,
2DNgXhuWzqxkLujyG,POG x SC x DWB - LRB,Concentrate,2016-01-21,2016-01-22,,,,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.85,0.04,0.1,0.08,0.06,0.13,1.03,0.24,0.8,0.47,0.02,0.0,,50.1,,,0.2,0.04,,0.01,,,,1.32,0.15,
2GXN4DqHM9zr2vRdh,LR 031218-03-Viper City OG,Concentrate,2018-03-20,2018-03-20,,0.0,0.0,,,,0.05,0.07,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.38,0.08,0.21,0.16,0.06,0.44,1.42,0.21,0.1,0.94,0.05,0.0,,1.63,0.01,88.01,0.01,0.01,0.89,0.01,,,1.71,0.43,0.01,
2JNQwo32FfQMsHjfG,Platinum Cream - LR,Concentrate,2016-09-28,2016-09-29,,,,0.0,0.0,,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.27,0.0,0.31,0.1,0.0,0.55,0.5,0.08,0.07,0.77,0.0,0.0,,69.7,,,0.23,0.26,,0.45,,,,3.57,0.84,
2JRhCsyqpiAniX2Lr,Grateful Puff - LR,Concentrate,2016-11-29,2016-12-01,,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.18,0.08,0.18,0.22,0.0,0.54,0.86,0.31,0.11,1.1,0.0,0.0,,61.5,,,0.36,0.0,,0.39,,,,6.21,0.57,
