Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,delta-9 CBG-A,delta-9 CBG,CBG-A,CBG,CBC,Moisture Content
,Jackson Disbrow- Mamas Boy,"Flower, Inhalable",2017-12-08,,1,,,,,,0.017,0.005,0.009,0.008,0.0,0.118,0.008,0.041,0.08,0.363,0.011,0.044,0.246,0.012,0.139,0.787,,0.129,0.13,0.009,0.001,,,,,,,,,,,,,,
,Royalbudline-Lemon Tree,"Flower, Inhalable",2017-11-22,,1,,,,,,0.0,0.007,0.012,0.0,0.003,0.003,0.003,0.085,0.038,0.0,0.188,0.224,0.303,0.0,0.743,1.025,,0.107,0.169,0.0,0.0,,,,,,,,,,,,,,
,Salmuri- Zkittles,"Flower, Inhalable",2017-11-14,,1,,,,,,0.0,0.005,0.014,0.0,0.004,0.0,0.0,0.145,0.0,0.002,0.003,0.319,0.018,0.0,0.78,0.012,,0.033,0.226,0.0,0.0,,,,,,,,,,,,,,
,Gold Coast - White Gummy,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.02,0.044,0.0,0.0,0.072,0.0,0.151,0.176,0.011,0.077,0.144,0.166,0.0,0.477,1.726,,0.207,0.947,0.003,0.0,,,,,,,,,,,,,,
,Gold Coast - Banana Tangie #7,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.02,0.048,0.0,0.0,0.201,0.0,0.34,0.028,0.107,0.092,0.213,0.07,0.0,0.731,0.875,,0.16,0.947,0.004,0.0,,,,,,,,,,,,,,
,Gold Coast - Blood Oranges,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.021,0.015,0.072,0.0,0.006,0.0,0.0,0.471,0.151,0.583,0.137,0.223,0.082,0.014,0.76,0.975,,0.178,0.712,0.012,0.0,,,,,,,,,,,,,,
,Calix/Natures Lab- Acai,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.013,0.054,0.0,0.029,0.0,0.0,0.753,0.0,0.024,0.139,0.682,0.035,0.0,1.66,0.216,,0.071,0.494,0.0,0.0,,,,,,,,,,,,,,
,Beard Bros Pharms- Yeti OG,"Flower, Inhalable",2017-05-30,,3,,,,,,0.0,0.018,0.007,0.003,0.007,0.002,0.0,0.092,0.015,0.013,0.024,0.041,0.089,0.0,0.139,0.083,,0.111,0.375,0.001,0.0,,,,,,,,,,,,,,
,Beard Bros Pharms- Hollister Kush,"Flower, Inhalable",2017-05-30,,3,,,,,,0.009,0.002,0.008,0.002,0.001,0.0,0.0,0.017,0.003,0.143,0.0,0.048,0.082,0.002,0.174,0.386,,0.06,0.054,0.004,0.001,,,,,,,,,,,,,,
,Beard Bros Pharms- Beard Glue,"Flower, Inhalable",2017-05-30,,3,,,,,,0.0,0.008,0.008,0.0,0.009,0.0,0.0,0.043,0.0,0.005,0.0,0.143,0.029,0.0,0.488,0.462,,0.056,0.308,0.0,0.0,,,,,,,,,,,,,,
,Beard Bros Pharms- 24K,"Flower, Inhalable",2017-05-30,,3,,,,,,0.0,0.007,0.008,0.001,0.007,0.0,0.0,0.037,0.0,0.003,0.0,0.142,0.026,0.0,0.481,0.35,,0.048,0.275,0.0,0.0,,,,,,,,,,,,,,
,Beezle/Victory - Victory Cookies,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.012,0.05,0.0,0.006,0.0,0.0,0.38,0.0,0.023,0.193,0.646,0.051,0.0,1.725,0.376,,0.095,0.415,0.0,0.0,,,,,,,,,,,,,,
,Beezle/Forbidden - OZ Kush,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.02,0.084,0.0,0.04,0.004,0.0,0.971,0.0,0.02,0.208,0.666,0.062,0.0,1.488,0.308,,0.142,0.826,0.0,0.0,,,,,,,,,,,,,,
,Beezle/Atrium - Pina Colada,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.029,0.01,0.01,0.0,0.035,0.112,0.0,0.159,0.252,1.06,0.135,0.069,0.212,0.0,0.225,3.164,,0.205,0.541,0.0,0.023,,,,,,,,,,,,,,
,Beezle/The Hive - Banana Pie,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.017,0.189,0.0,0.037,0.0,0.0,0.629,0.006,0.045,0.277,0.899,0.052,0.0,1.86,0.243,,0.123,0.608,0.0,0.0,,,,,,,,,,,,,,
,Beezle/Atrium - Strawberry Banana Source Pen,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.0,0.034,0.0,0.003,0.027,0.0,0.025,0.013,0.035,0.198,0.05,0.012,0.0,0.15,0.079,,0.014,0.027,0.0,0.0,,,,,,,,,,,,,,
,Beezle-Lemon Tree Source Pen,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.0,0.026,0.0,0.016,0.057,0.0,0.059,0.014,0.087,0.216,0.033,0.0,0.0,0.094,0.085,,0.008,0.028,0.0,0.0,,,,,,,,,,,,,,
,Synergy- Strawnana,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.0,0.109,0.0,0.0,0.0,0.0,0.0,0.13,0.01,0.023,0.11,0.024,0.0,0.382,0.073,,0.065,0.645,0.0,0.0,,,,,,,,,,,,,,
,Synergy- Strawberry Banana,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.005,0.122,0.0,0.003,0.0,0.0,0.007,0.135,0.016,0.03,0.137,0.015,0.0,0.467,0.068,,0.054,0.626,0.0,0.0,,,,,,,,,,,,,,
,Synergy- Golden State 1,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.008,0.071,0.0,0.0,0.005,0.0,0.062,0.071,0.051,0.024,0.173,0.035,0.0,0.588,0.303,,0.081,0.621,0.0,0.0,,,,,,,,,,,,,,
,Synergy- Kiwi Strawberry,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.008,0.081,0.0,0.0,0.006,0.0,0.063,0.077,0.053,0.029,0.188,0.041,0.0,0.645,0.35,,0.093,0.653,0.0,0.0,,,,,,,,,,,,,,
,Synergy- Forbidden Fruit,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.0,0.052,0.0,0.0,0.43,0.0,0.704,0.099,0.073,0.251,0.246,0.029,0.0,0.771,0.867,,0.078,0.802,0.0,0.0,,,,,,,,,,,,,,
,Synergy- Golden State Banana,"Flower, Inhalable",2017-05-30,,3,,,,,,0.0,0.016,0.003,0.0,0.001,0.0,0.0,0.02,0.055,0.008,0.003,0.069,0.099,0.0,0.252,0.611,,0.121,0.431,0.0,0.0,,,,,,,,,,,,,,
,Synergy- Big Smokey Foreign Fruit,"Flower, Inhalable",2017-05-30,,3,,,,,,0.0,0.004,0.003,0.0,0.003,0.061,0.0,0.131,0.0,0.002,0.034,0.047,0.016,0.0,0.165,0.448,,0.031,0.167,0.0,0.0,,,,,,,,,,,,,,
,Soil King - Signature Series raw,"Concentrate, Inhalable",2017-05-30,,3,,,,,,0.0,0.0,0.021,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.11,0.007,0.0,0.0,0.016,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
